FUS(G156E)-EGFP / μM,PEG 6000 / % (w/w),feature,bis-ANS
2.650454197,2.366913826,TRUE,FALSE
0.936710328,4.388921272,TRUE,FALSE
1.121511554,6.145996366,TRUE,FALSE
2.873988062,3.17869326,TRUE,FALSE
1.855594335,5.761179265,TRUE,FALSE
0.646977037,5.015675827,TRUE,FALSE
0.901349267,4.957583889,TRUE,FALSE
1.03500016,4.146336503,TRUE,FALSE
0.766316818,7.076221247,TRUE,FALSE
2.020890429,4.162852592,TRUE,FALSE
1.538219134,4.950101816,TRUE,FALSE
2.356668609,3.091193197,TRUE,FALSE
2.239893499,3.825974452,TRUE,FALSE
1.234318267,3.755868127,TRUE,FALSE
1.331390975,4.438457089,TRUE,FALSE
1.371326279,3.596538377,TRUE,FALSE
0.672763765,5.636049993,TRUE,FALSE
2.65595884,2.389317407,TRUE,FALSE
0.796191055,5.743194923,TRUE,FALSE
1.058777736,3.936853676,TRUE,FALSE
2.038493088,2.092379964,TRUE,FALSE
2.285344838,2.760881648,TRUE,FALSE
1.072163865,4.81897197,TRUE,FALSE
0.524387509,4.807934192,TRUE,FALSE
1.156744886,4.980984248,TRUE,FALSE
2.006140846,2.940835811,TRUE,FALSE
2.143913242,4.101509036,TRUE,FALSE
1.260303415,3.201852076,TRUE,FALSE
1.096282784,4.634080171,TRUE,FALSE
1.381011763,3.835174153,TRUE,FALSE
0.878201709,6.506845278,TRUE,FALSE
1.311985755,6.113333969,TRUE,FALSE
1.389656857,3.421121625,TRUE,FALSE
2.709284179,2.524715689,TRUE,FALSE
1.468568868,6.806553038,TRUE,FALSE
1.232395539,2.239034764,TRUE,FALSE
2.14553873,2.63940287,TRUE,FALSE
1.405365507,4.110483462,TRUE,FALSE
1.286450222,5.660763897,TRUE,FALSE
1.766410254,3.824440131,TRUE,FALSE
1.168186498,5.715621557,TRUE,FALSE
1.387208393,6.892615704,TRUE,FALSE
2.146901022,5.209681153,TRUE,FALSE
2.576422365,2.439353435,TRUE,FALSE
2.088197612,3.892325966,TRUE,FALSE
1.617929491,4.111462891,TRUE,FALSE
1.588791213,4.981102221,TRUE,FALSE
0.519057276,5.135074785,TRUE,FALSE
0.923627671,4.497875085,TRUE,FALSE
1.452219467,4.396493138,TRUE,FALSE
0.910992509,4.68461146,TRUE,FALSE
1.234379706,6.494684746,TRUE,FALSE
1.618672526,3.346060098,TRUE,FALSE
2.163698648,3.610404463,TRUE,FALSE
2.276119897,2.418698418,TRUE,FALSE
1.830327915,3.647183252,TRUE,FALSE
1.986925604,4.712587997,TRUE,FALSE
1.746411957,4.913719122,TRUE,FALSE
1.785684805,3.414632879,TRUE,FALSE
1.778021102,3.993914544,TRUE,FALSE
3.01530004,2.237029125,TRUE,FALSE
2.173544041,3.780350817,TRUE,FALSE
1.447962004,3.812769375,TRUE,FALSE
2.078421414,4.48392251,TRUE,FALSE
2.074346753,2.295839008,TRUE,FALSE
0.365010193,7.070519121,TRUE,FALSE
1.050782285,5.998100874,TRUE,FALSE
2.240100636,3.707016244,TRUE,FALSE
0.595076545,4.547100444,TRUE,FALSE
1.594706197,3.809568199,TRUE,FALSE
1.650637034,4.856098856,TRUE,FALSE
1.679701382,3.74523724,TRUE,FALSE
0.832229523,7.977765213,TRUE,FALSE
1.440824836,3.865337847,TRUE,FALSE
1.739164248,3.118765263,TRUE,FALSE
2.244213551,3.95398995,TRUE,FALSE
2.100806617,3.641364269,TRUE,FALSE
2.569499937,4.123559773,TRUE,FALSE
3.345742389,2.486097251,TRUE,FALSE
3.722664325,4.092739833,TRUE,FALSE
2.754409582,2.732813159,TRUE,FALSE
1.865913818,4.12011473,TRUE,FALSE
0.351487275,6.986183748,TRUE,FALSE
0.35544379,5.484049849,TRUE,FALSE
0.676380528,8.017084488,TRUE,FALSE
2.942434214,2.466183722,TRUE,FALSE
3.08211184,2.098968416,TRUE,FALSE
3.006692224,1.981740452,TRUE,FALSE
1.538100485,2.749309986,TRUE,FALSE
2.240713204,5.065786441,TRUE,FALSE
0.973418874,4.798345861,TRUE,FALSE
1.880771692,4.357096371,TRUE,FALSE
1.122885533,4.030748954,TRUE,FALSE
1.50761668,3.193209077,TRUE,FALSE
1.615083625,4.374898301,TRUE,FALSE
0.612191558,4.870198714,TRUE,FALSE
0.826028721,7.89631726,TRUE,FALSE
1.55297668,3.793793883,TRUE,FALSE
0.680556864,4.818560686,TRUE,FALSE
1.953559707,4.04542498,TRUE,FALSE
1.703918561,5.141517292,TRUE,FALSE
1.100178887,5.739281854,TRUE,FALSE
0.753680094,7.652131577,TRUE,FALSE
1.593469734,4.14282433,TRUE,FALSE
1.953242954,2.949340337,TRUE,FALSE
1.443538482,6.341904116,TRUE,FALSE
1.682564968,2.310719108,TRUE,FALSE
0.286723063,6.397991405,TRUE,FALSE
1.518334701,3.027201375,TRUE,FALSE
1.030585223,4.300599692,TRUE,FALSE
1.150736463,6.632461879,TRUE,FALSE
1.135468448,5.543178781,TRUE,FALSE
3.025376965,2.208140883,TRUE,FALSE
1.169913184,4.737825519,TRUE,FALSE
1.934573085,3.407313555,TRUE,FALSE
1.053440781,4.902797467,TRUE,FALSE
0.859487646,4.403964766,TRUE,FALSE
1.613019505,6.309015716,TRUE,FALSE
0.446459378,6.690335523,TRUE,FALSE
1.648525057,3.340738022,TRUE,FALSE
1.772206122,5.379559874,TRUE,FALSE
1.070015443,6.441663542,TRUE,FALSE
1.475517494,4.527511115,TRUE,FALSE
2.140017971,3.779455909,TRUE,FALSE
0.453965896,6.893094873,TRUE,FALSE
0.713347489,5.477543713,TRUE,FALSE
1.368347299,3.409012256,TRUE,FALSE
1.32686132,4.825882641,TRUE,FALSE
0.941222907,4.433563263,TRUE,FALSE
2.16478844,2.498724615,TRUE,FALSE
0.982074844,3.775234547,TRUE,FALSE
1.376455724,3.357631128,TRUE,FALSE
1.191855982,4.240384908,TRUE,FALSE
1.626924615,3.912788978,TRUE,FALSE
2.654948767,2.283114248,TRUE,FALSE
1.137607394,3.730824946,TRUE,FALSE
1.453213329,3.675835546,TRUE,FALSE
1.044345917,3.414717918,TRUE,FALSE
0.306917263,7.224477264,TRUE,FALSE
2.676415259,2.271678522,TRUE,FALSE
0.314744302,6.996096638,TRUE,FALSE
1.63583627,3.518178751,TRUE,FALSE
0.733513669,4.670459437,TRUE,FALSE
1.214259688,5.246546213,TRUE,FALSE
1.436326795,4.165400449,TRUE,FALSE
1.074914644,3.770121454,TRUE,FALSE
0.820043707,5.305823702,TRUE,FALSE
1.226871993,4.377908443,TRUE,FALSE
0.913005769,5.962409638,TRUE,FALSE
1.634041322,6.098913102,TRUE,FALSE
2.392645037,2.43933371,TRUE,FALSE
2.415944284,2.860982873,TRUE,FALSE
1.429518849,4.257838776,TRUE,FALSE
0.72340674,7.28653428,TRUE,FALSE
2.197425934,3.610990526,TRUE,FALSE
2.057866805,5.098796612,TRUE,FALSE
1.615542199,4.393618511,TRUE,FALSE
