feature,"PolyA, ng/uL","Os-C, uM"
FALSE,28.64518253,8.344809949
FALSE,22.60689658,8.346205135
FALSE,28.34426285,8.351959623
FALSE,8.48549821,8.35362125
FALSE,24.21829746,8.355665885
FALSE,25.70639897,8.363458461
FALSE,27.97804466,8.364004033
FALSE,24.97968001,8.37658917
FALSE,20.03366543,8.376609406
FALSE,24.02117768,8.378443139
FALSE,26.88526846,8.379611128
FALSE,35.05425879,8.380013743
FALSE,26.08608893,8.389867877
FALSE,24.31537442,8.398708784
FALSE,32.44701913,8.400691576
FALSE,34.26627602,8.403084926
FALSE,33.1762383,8.406878947
FALSE,25.63628628,8.439882466
FALSE,35.99292071,8.442943004
FALSE,21.91100804,8.450695757
FALSE,36.17776115,8.464631383
FALSE,33.47449935,8.464730421
FALSE,18.51673308,8.475616115
FALSE,26.21849118,8.478761293
FALSE,24.52884462,8.479935497
FALSE,21.79984102,8.48069001
FALSE,32.98850692,8.48235909
FALSE,30.44215767,8.483980324
FALSE,22.24874368,8.486533087
FALSE,20.64799435,8.486651174
FALSE,28.46349406,8.486744606
FALSE,37.86192132,8.50576861
FALSE,34.1849454,8.506618548
FALSE,25.64584494,8.510005603
FALSE,30.08149473,8.510826884
FALSE,26.42103878,8.517785509
FALSE,29.71570027,8.533441397
FALSE,30.95055014,8.534077394
FALSE,11.38684707,8.536144326
FALSE,10.23890332,8.538734617
FALSE,32.12802606,8.545211852
FALSE,31.97251767,8.547920362
FALSE,21.96631847,8.550665963
FALSE,30.03903953,8.553403031
FALSE,28.31631623,8.554035125
FALSE,32.77414305,8.554476566
FALSE,26.57133107,8.559254223
FALSE,22.10173907,8.559995889
FALSE,25.55260841,8.565269619
FALSE,27.35860208,8.565772937
FALSE,25.66248045,8.574396852
FALSE,38.03069315,8.577045132
FALSE,16.05048789,8.57815029
FALSE,38.7522685,8.579910525
FALSE,25.34278897,8.583513772
FALSE,25.03589199,8.607915628
FALSE,25.02471226,8.60887412
FALSE,26.02065641,8.611267442
FALSE,35.17764073,8.614071463
FALSE,25.7274213,8.616316738
FALSE,18.89158738,8.616351912
FALSE,22.59597518,8.616523375
FALSE,29.70452348,8.626360944
FALSE,31.77685154,8.626631281
FALSE,31.74385182,8.633560489
FALSE,22.54740737,8.634616028
FALSE,30.77911937,8.636065726
FALSE,26.51800239,8.640041105
FALSE,25.70893593,8.640903357
FALSE,24.07072259,8.648967528
FALSE,23.84762924,8.658017916
FALSE,22.1101999,8.662569955
FALSE,33.14028213,8.669665022
FALSE,23.20956756,8.674321161
FALSE,22.60671035,8.675218657
FALSE,23.63337566,8.683793236
FALSE,29.09932729,8.693065128
FALSE,25.11804953,8.696604084
FALSE,25.47805406,8.699843487
FALSE,27.59296184,8.701988458
FALSE,31.47877782,8.717187081
FALSE,37.33577675,8.722369385
FALSE,34.37396132,8.722551676
FALSE,33.24596378,8.727379824
FALSE,24.74623576,8.728314401
FALSE,34.15503337,8.729251043
FALSE,33.34318646,8.729764297
FALSE,28.45387053,8.730548644
FALSE,34.49884025,8.732686512
FALSE,36.98836958,8.751804196
FALSE,30.52472584,8.755537337
FALSE,36.63664988,8.758619747
FALSE,25.15758581,8.764197017
FALSE,27.64250812,8.768656465
FALSE,28.97436163,8.771011946
FALSE,22.19678331,8.780454045
FALSE,32.38292083,8.787163299
FALSE,33.46472774,8.791524823
FALSE,28.85412789,8.796450747
FALSE,23.49158173,8.801256099
FALSE,34.80407723,8.808151119
FALSE,27.43709212,8.818047327
FALSE,34.70285933,8.82813145
FALSE,22.89659578,8.828913626
FALSE,37.44397283,8.83516299
FALSE,22.18763483,8.836550551
FALSE,35.48248684,8.836780371
FALSE,27.22651086,8.847829698
FALSE,18.54112168,8.857050232
FALSE,25.6210486,8.859625077
FALSE,22.44507006,8.860435784
FALSE,34.58199009,8.8631598
FALSE,36.18558997,8.884672845
FALSE,27.21518113,8.890783142
FALSE,25.15661562,8.896795522
FALSE,31.9252809,8.897166019
FALSE,25.40497788,8.897639516
FALSE,23.58843477,8.89905842
FALSE,28.83817936,8.899073215
FALSE,35.02998504,8.901405475
FALSE,24.12292547,8.902390977
FALSE,25.65534224,8.904343668
FALSE,23.9623003,8.916897441
FALSE,34.98578679,8.921159977
FALSE,13.65832199,8.927626672
FALSE,24.80487724,8.934520781
FALSE,27.58978205,8.93836098
FALSE,24.68885943,8.945802991
FALSE,25.41056668,8.9466455
FALSE,32.97916366,8.946886678
FALSE,31.63736445,8.947844027
FALSE,31.6734437,8.95666265
FALSE,34.33848173,8.957578211
FALSE,29.13795741,8.95817229
FALSE,26.2340032,8.964675093
FALSE,31.42344555,8.967276637
FALSE,34.61390092,8.967686349
FALSE,31.41745215,8.971649874
FALSE,14.25764201,8.979663035
FALSE,32.98178007,8.983988584
FALSE,24.65496876,8.987258568
FALSE,32.06761338,8.992194516
FALSE,33.09744302,9.004169127
FALSE,25.92661132,9.013276615
FALSE,24.25474638,9.016773053
FALSE,24.48973234,9.019760744
FALSE,32.42705214,9.020377317
FALSE,31.51989542,9.027253237
FALSE,23.78944239,9.029801683
FALSE,32.3391344,9.039635022
FALSE,22.52885436,9.044490702
FALSE,35.3195851,9.063354577
FALSE,32.4302024,9.0659358
FALSE,21.92155328,9.067097564
FALSE,33.08419199,9.068332342
FALSE,35.21272387,9.071761316
FALSE,23.48660627,9.073384326
FALSE,37.3229312,9.077569133
FALSE,35.11823276,9.094547991
FALSE,27.03261069,9.097202449
FALSE,32.41233983,9.108740704
