NSP2 / uM,NSP5 / uM,feature
1.637054005,7.332421966,TRUE
3.684306515,6.304564475,TRUE
0.748374108,6.046080338,TRUE
2.379086147,4.561875449,TRUE
2.931386552,3.652570561,TRUE
2.669567126,4.003844028,TRUE
3.186967488,4.989648122,TRUE
2.766473128,0.46115882,TRUE
4.861175167,3.97016173,TRUE
3.480288414,5.020154537,TRUE
2.279013745,5.185785848,TRUE
3.729612478,6.582888961,TRUE
5.208073955,4.71793873,TRUE
4.240243381,6.465212833,TRUE
1.938887365,6.875284331,TRUE
2.424151836,4.36138952,TRUE
2.31899096,3.818958112,TRUE
1.071935513,5.46256926,TRUE
6.361548928,4.818529109,TRUE
4.723132221,5.200013331,TRUE
4.478248592,6.016177534,TRUE
1.691167642,6.276276045,TRUE
3.964993886,5.710275207,TRUE
4.008097546,3.384245416,TRUE
2.55619571,5.841812895,TRUE
1.273186343,4.190045803,TRUE
4.560495641,2.796566536,TRUE
3.869247264,6.84806204,TRUE
1.84244927,6.671962997,TRUE
2.172102285,7.058729885,TRUE
1.867337196,6.19656053,TRUE
3.16513851,6.478792999,TRUE
4.861630816,6.778193454,TRUE
1.952342583,5.677065188,TRUE
4.210527476,6.419959474,TRUE
5.204305539,6.215736605,TRUE
2.63583514,4.30158788,TRUE
2.167994097,4.345506614,TRUE
0.971536936,5.72885678,TRUE
1.503603681,5.840334185,TRUE
2.132333366,7.367003777,TRUE
3.664082608,7.294645863,TRUE
3.470033818,7.460031666,TRUE
1.842634742,4.753520863,TRUE
4.64969581,4.094288397,TRUE
2.340456016,4.767039812,TRUE
2.459570714,3.665537666,TRUE
2.828818684,7.33061678,TRUE
1.408996167,5.017357933,TRUE
2.360930517,7.242280234,TRUE
6.259083637,9.076071954,TRUE
2.736779372,6.776823483,TRUE
2.800552869,3.270674891,TRUE
0.97968308,6.592032915,TRUE
4.556604575,5.280324626,TRUE
1.205263541,6.12542803,TRUE
1.252345236,4.310013236,TRUE
3.842090605,3.724971628,TRUE
1.320741997,5.316424894,TRUE
1.689622383,5.551796891,TRUE
1.765876741,4.812347491,TRUE
3.108095949,4.706436335,TRUE
1.985872519,5.361836427,TRUE
3.363707525,7.190382272,TRUE
2.027113167,5.471740814,TRUE
1.813233937,6.328517493,TRUE
1.806922286,6.739327707,TRUE
1.717270223,4.276115285,TRUE
2.38799822,3.482079139,TRUE
1.710493323,4.553197614,TRUE
1.515720166,4.244190389,TRUE
1.842025261,3.766669251,TRUE
4.098460885,5.79523784,TRUE
2.392331548,7.584065618,TRUE
2.185340519,3.688917121,TRUE
2.016780313,3.457671467,TRUE
4.243383313,6.251529895,TRUE
4.032222871,3.480201769,TRUE
2.770380186,2.474137353,TRUE
2.865541553,6.070585584,TRUE
2.417140321,5.278048084,TRUE
0.927251345,4.576407373,TRUE
3.514400997,4.465454058,TRUE
3.002410642,5.632983962,TRUE
1.619213349,7.414467886,TRUE
4.927804097,7.769574136,TRUE
4.043480037,6.976616571,TRUE
2.273753637,4.562634854,TRUE
2.039980433,4.240016447,TRUE
5.716567782,6.764869606,TRUE
1.615605704,2.695765393,TRUE
2.917665776,5.040408565,TRUE
3.281977618,6.851878906,TRUE
4.709791173,2.695304315,TRUE
6.130374578,3.080822607,TRUE
2.613619419,4.302059661,TRUE
3.741628819,3.639627368,TRUE
3.062652828,5.733348903,TRUE
2.072658281,2.601628495,TRUE
4.511139965,3.929680555,TRUE
3.327368481,3.783305068,TRUE
1.403423476,4.695128362,TRUE
4.987920503,1.708411658,TRUE
2.908590294,4.799841653,TRUE
2.098531259,6.113779864,TRUE
3.499701928,6.558802827,TRUE
1.955050102,7.137233165,TRUE
4.352135904,3.883975747,TRUE
4.811813499,4.017291639,TRUE
3.439323552,7.770542196,TRUE
0.868839912,5.992478239,TRUE
3.416018359,5.135469008,TRUE
3.961882067,3.338697767,TRUE
1.030715028,6.324085234,TRUE
5.495734362,3.853452077,TRUE
3.031956377,6.44497042,TRUE
3.500527853,3.071476359,TRUE
4.974633847,6.007926778,TRUE
4.936859507,2.42703224,TRUE
5.141957888,3.39045115,TRUE
4.100731243,6.902270152,TRUE
3.762696036,6.736059572,TRUE
3.651919155,2.924074763,TRUE
3.323416682,7.813238993,TRUE
1.535500347,6.907899173,TRUE
3.505621981,6.215305598,TRUE
5.88589993,5.614281064,TRUE
6.604731197,6.624730613,TRUE
3.947199034,5.289004467,TRUE
3.747626951,9.487288212,TRUE
1.287393902,5.949239524,TRUE
2.452834454,5.324859963,TRUE
1.416058744,6.445030082,TRUE
2.889625506,7.348389954,TRUE
2.197211502,3.112548525,TRUE
1.477612086,7.03852363,TRUE
4.76791745,6.874995486,TRUE
2.40648866,4.692159788,TRUE
1.504802097,6.019659419,TRUE
1.707281764,3.379878348,TRUE
2.585049855,7.884278467,TRUE
2.821667398,3.512719263,TRUE
2.370318529,7.243402266,TRUE
2.928768764,3.619448865,TRUE
4.755135841,3.039875084,TRUE
4.627449789,3.133041171,TRUE
4.580446127,5.746118112,TRUE
1.142239711,6.340141163,TRUE
3.618198549,4.997487344,TRUE
1.425765181,6.769142077,TRUE
0.905463789,6.644508057,TRUE
1.181783296,6.467141611,TRUE
3.908712231,5.826640651,TRUE
1.056035038,4.407548622,TRUE
3.208141481,5.696737731,TRUE
0.960671199,5.707630779,TRUE
2.171661149,6.33887174,TRUE
3.259797255,5.911439307,TRUE
4.941100108,5.720572814,TRUE
2.964407509,4.375236822,TRUE
2.79043674,4.009576944,TRUE
1.78650608,7.222152938,TRUE
2.576801592,8.416118825,TRUE
1.331431138,7.402626448,TRUE
3.311119931,9.170056039,TRUE
4.332448453,5.76800289,TRUE
4.357241582,7.445414267,TRUE
2.245227535,7.807914711,TRUE
6.114024032,8.245001148,TRUE
2.218356295,7.505885901,TRUE
6.420003372,5.085109851,TRUE
2.021062745,7.269710776,TRUE
3.071850806,8.912833323,TRUE
3.037950695,3.900998836,TRUE
3.989985541,5.176860382,TRUE
1.907553424,5.616486637,TRUE
3.507770776,5.620042696,TRUE
2.275255125,5.56589393,TRUE
1.745805494,7.373945772,TRUE
4.625495547,5.428431481,TRUE
2.997235065,7.747294876,TRUE
3.826998599,8.050591205,TRUE
5.877137272,7.932662156,TRUE
2.433641734,7.372519796,TRUE
4.283110576,6.410164297,TRUE
4.133117979,5.628859609,TRUE
5.428276216,5.616281323,TRUE
5.392051194,8.692005312,TRUE
2.407896709,7.157822903,TRUE
5.885458755,6.922122952,TRUE
2.090409188,7.451351342,TRUE
2.294848886,7.029663065,TRUE
0.592753829,7.044025402,TRUE
1.621544318,5.15547236,TRUE
1.75455758,5.960635239,TRUE
4.991932857,4.245902033,TRUE
3.300767007,3.315202375,TRUE
1.535267175,7.374951403,TRUE
5.225262585,3.386844117,TRUE
1.277528299,5.603458609,TRUE
6.076858334,3.739333574,TRUE
5.25788689,5.275718494,TRUE
5.8050922,3.572426143,TRUE
2.903046461,5.426532056,TRUE
1.42978444,5.669506493,TRUE
3.468159518,5.532164447,TRUE
3.34498369,3.719894988,TRUE
3.268301661,7.393577656,TRUE
5.481554968,3.528342015,TRUE
1.777233844,7.416777911,TRUE
3.831866938,4.619367885,TRUE
3.234121181,7.102830413,TRUE
2.934425326,7.112778594,TRUE
4.329698226,3.146416433,TRUE
5.503462758,2.62764948,TRUE
1.52692824,7.187341064,TRUE
1.995756896,5.694433683,TRUE
1.191725705,5.026204936,TRUE
1.160927675,5.300269628,TRUE
4.576590156,6.484980256,TRUE
1.866440783,6.736946091,TRUE
3.665019799,4.354287863,TRUE
1.44743175,4.895723242,TRUE
1.877148426,4.992112523,TRUE
2.891746811,6.403001252,TRUE
2.244348516,4.920370319,TRUE
5.035167532,7.8176514,TRUE
5.843833979,2.385700465,TRUE
2.394304477,6.964486578,TRUE
1.240265135,6.408245643,TRUE
1.63301617,4.90918749,TRUE
1.372496432,5.682599708,TRUE
1.883801569,8.068874001,TRUE
1.825363872,4.709614489,TRUE
2.565213597,5.585552885,TRUE
4.235812178,3.072497285,TRUE
2.313164447,7.608974725,TRUE
2.526834965,6.117573319,TRUE
3.264273501,4.067812611,TRUE
3.520117001,7.73267221,TRUE
1.850469922,5.731669114,TRUE
2.644142318,5.283054589,TRUE
1.833355739,7.482994874,TRUE
2.790903609,4.980052628,TRUE
4.120590414,4.271771578,TRUE
2.935203008,5.284858017,TRUE
3.972089035,4.517126949,TRUE
1.922080822,7.326117134,TRUE
4.266290168,6.735938065,TRUE
4.86219911,5.494142329,TRUE
1.431853179,7.584959188,TRUE
4.850395268,3.81137726,TRUE
2.768548439,4.64197978,TRUE
4.541102766,6.706549991,TRUE
2.296916165,7.306951417,TRUE
1.783439478,7.454791801,TRUE
1.958582091,6.824054226,TRUE
3.960549763,5.752054115,TRUE
4.637722542,3.476799048,TRUE
1.43809112,6.662348668,TRUE
2.386023159,7.10216965,TRUE
2.113236949,6.946369897,TRUE
2.678605097,2.968987244,TRUE
2.194739532,4.299430623,TRUE
4.20601084,6.427946844,TRUE
3.393988115,4.563517403,TRUE
3.389780246,6.750188598,TRUE
2.396447558,4.95943276,TRUE
